age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;target
32;management;married;tertiary;no;124;no;no;unknown;27;may;193;1;-1;0;unknown;no
31;services;married;tertiary;yes;-90;no;yes;unknown;1;jul;173;1;-1;0;unknown;no
42;technician;married;tertiary;no;246;yes;no;telephone;12;may;360;2;-1;0;unknown;no
54;unemployed;married;secondary;no;582;yes;no;cellular;15;may;693;5;372;2;failure;yes
33;technician;married;secondary;no;6419;no;no;cellular;7;aug;419;3;-1;0;unknown;no
34;technician;divorced;tertiary;no;674;yes;no;cellular;7;aug;587;2;-1;0;unknown;yes
34;blue-collar;married;secondary;no;286;yes;no;unknown;9;may;134;2;-1;0;unknown;no
28;unemployed;married;secondary;no;858;yes;no;unknown;21;may;371;1;-1;0;unknown;no
32;services;single;secondary;no;148;yes;no;cellular;18;nov;150;1;-1;0;unknown;no
29;entrepreneur;married;secondary;no;291;yes;no;unknown;2;jun;205;3;-1;0;unknown;no
39;blue-collar;married;primary;no;70;no;no;unknown;8;may;813;1;-1;0;unknown;yes
47;admin.;single;secondary;no;3957;yes;no;telephone;11;may;58;3;334;3;other;no
35;blue-collar;married;primary;no;102;yes;no;unknown;20;may;1334;1;-1;0;unknown;yes
29;technician;single;secondary;no;674;no;no;cellular;30;apr;483;1;13;5;success;yes
75;retired;divorced;primary;no;3881;yes;no;cellular;4;feb;136;3;-1;0;unknown;yes
59;technician;married;secondary;no;116;no;no;cellular;11;feb;268;1;183;7;success;yes
51;blue-collar;divorced;primary;no;-380;yes;no;unknown;26;may;181;1;-1;0;unknown;no
73;retired;divorced;secondary;no;7111;yes;no;cellular;12;oct;146;1;-1;0;unknown;yes
31;blue-collar;single;secondary;no;19;yes;no;unknown;19;may;178;5;-1;0;unknown;no
34;technician;single;secondary;no;85;yes;no;unknown;20;may;1182;4;-1;0;unknown;yes
29;housemaid;single;tertiary;no;2196;no;no;cellular;5;aug;215;1;-1;0;unknown;yes
26;blue-collar;single;secondary;no;-46;yes;no;unknown;20;jun;382;7;-1;0;unknown;yes
29;technician;married;secondary;no;132;yes;yes;cellular;30;apr;88;1;-1;0;unknown;no
49;admin.;single;tertiary;no;228;yes;no;cellular;3;sep;252;2;93;2;success;yes
45;management;single;tertiary;no;2067;yes;no;cellular;13;aug;393;2;462;1;success;yes
60;self-employed;married;tertiary;no;3;no;no;cellular;18;aug;80;2;-1;0;unknown;no
20;blue-collar;single;secondary;no;423;yes;no;cellular;16;apr;498;1;-1;0;unknown;yes
53;technician;divorced;primary;no;1443;yes;no;unknown;14;may;476;1;-1;0;unknown;yes
45;blue-collar;married;primary;no;0;yes;no;telephone;24;jul;32;1;-1;0;unknown;no
45;self-employed;married;secondary;no;830;no;no;cellular;19;nov;180;1;111;2;failure;no
61;retired;married;secondary;no;938;no;no;cellular;15;oct;212;2;92;5;success;no
47;technician;married;secondary;no;834;no;yes;cellular;21;nov;902;1;133;2;other;yes
48;admin.;divorced;unknown;no;-70;no;no;cellular;14;may;243;1;-1;0;unknown;no
73;retired;married;primary;no;542;no;no;cellular;26;oct;355;1;180;5;failure;yes
46;management;single;tertiary;no;0;no;no;cellular;22;aug;686;2;-1;0;unknown;yes
31;entrepreneur;single;tertiary;no;247;yes;yes;unknown;2;jun;273;1;-1;0;unknown;no
53;services;married;secondary;no;6170;no;no;cellular;13;aug;838;4;-1;0;unknown;yes
58;admin.;married;secondary;no;92;yes;no;unknown;27;may;180;1;-1;0;unknown;no
50;admin.;married;secondary;no;159;yes;no;unknown;7;may;216;2;-1;0;unknown;no
49;technician;married;tertiary;no;1071;no;no;cellular;16;sep;225;1;91;1;success;yes
25;admin.;single;secondary;no;483;no;yes;cellular;3;feb;189;1;-1;0;unknown;yes
40;admin.;single;secondary;no;985;yes;no;cellular;4;jun;592;3;50;8;failure;yes
41;entrepreneur;married;primary;no;759;yes;no;unknown;4;jun;79;10;-1;0;unknown;no
53;admin.;married;secondary;no;257;no;no;cellular;5;aug;222;1;-1;0;unknown;no
46;technician;married;secondary;no;3;yes;yes;cellular;12;may;614;3;-1;0;unknown;yes
34;technician;married;tertiary;no;23076;no;no;cellular;26;may;243;2;35;6;other;yes
41;management;married;tertiary;no;1559;no;no;cellular;28;aug;74;7;-1;0;unknown;no
44;blue-collar;single;secondary;no;-292;yes;no;unknown;2;jun;179;7;-1;0;unknown;no
31;technician;single;tertiary;no;614;no;no;cellular;11;aug;72;4;-1;0;unknown;no
35;management;single;tertiary;no;385;yes;no;cellular;29;aug;168;2;-1;0;unknown;no
30;admin.;single;tertiary;no;305;no;no;cellular;4;feb;227;2;-1;0;unknown;yes
55;entrepreneur;married;secondary;no;27624;no;no;telephone;3;jun;437;1;-1;0;unknown;yes
32;management;single;tertiary;no;354;no;no;cellular;4;mar;177;2;133;5;other;yes
29;management;married;tertiary;no;0;yes;no;cellular;6;may;667;2;-1;0;unknown;yes
32;technician;single;secondary;no;0;no;no;cellular;18;aug;594;4;-1;0;unknown;yes
34;management;married;tertiary;no;0;yes;no;cellular;3;feb;251;1;-1;0;unknown;yes
43;blue-collar;married;primary;no;0;yes;no;unknown;20;may;592;1;-1;0;unknown;no
33;management;single;tertiary;no;224;no;no;cellular;23;jun;342;2;107;2;success;yes
45;blue-collar;married;unknown;no;-320;yes;no;unknown;28;may;204;3;-1;0;unknown;no
60;management;married;tertiary;no;3401;no;no;cellular;30;oct;294;1;270;1;failure;yes
30;management;single;tertiary;no;67;no;no;cellular;12;aug;578;4;-1;0;unknown;no
38;technician;single;secondary;no;1685;yes;no;unknown;5;may;185;1;-1;0;unknown;no
36;services;married;secondary;no;30;no;yes;cellular;8;jul;716;5;-1;0;unknown;yes
38;technician;single;tertiary;no;2496;no;no;unknown;17;jun;193;1;-1;0;unknown;no
56;management;married;tertiary;no;586;no;no;telephone;10;jul;123;1;-1;0;unknown;no
48;services;married;secondary;no;125;no;no;cellular;14;aug;89;7;-1;0;unknown;no
32;blue-collar;married;secondary;no;136;no;no;cellular;16;nov;206;1;188;3;success;yes
33;management;single;tertiary;no;561;no;no;cellular;7;apr;104;1;-1;0;unknown;no
42;blue-collar;married;secondary;no;525;yes;no;unknown;20;jun;10;6;-1;0;unknown;no
38;unemployed;married;primary;no;1147;yes;yes;unknown;8;may;249;5;-1;0;unknown;no
49;blue-collar;divorced;primary;no;15;yes;no;unknown;27;may;550;7;-1;0;unknown;no
52;management;married;tertiary;no;388;no;no;cellular;25;may;272;1;-1;0;unknown;yes
34;blue-collar;married;secondary;no;800;no;no;cellular;5;apr;144;1;-1;0;unknown;yes
27;blue-collar;single;primary;no;0;yes;no;unknown;16;may;576;1;-1;0;unknown;no
46;blue-collar;married;primary;no;3969;no;no;telephone;7;jul;46;5;-1;0;unknown;no
40;blue-collar;married;primary;no;830;yes;no;cellular;13;may;873;3;370;2;failure;yes
67;retired;married;primary;no;1430;no;no;telephone;26;may;283;2;135;5;success;yes
55;management;married;tertiary;no;4649;yes;no;cellular;19;nov;277;4;-1;0;unknown;no
39;technician;married;tertiary;no;1524;no;no;cellular;20;apr;567;1;-1;0;unknown;yes
30;blue-collar;married;secondary;no;0;no;no;unknown;19;may;159;3;-1;0;unknown;no
27;unknown;single;tertiary;no;6421;no;no;telephone;28;jan;147;4;-1;0;unknown;no
33;technician;single;secondary;no;4240;yes;no;cellular;20;apr;508;1;-1;0;unknown;no
25;blue-collar;single;secondary;no;-247;yes;no;cellular;23;jul;633;1;-1;0;unknown;yes
34;blue-collar;single;secondary;no;1759;no;yes;cellular;25;jul;695;1;-1;0;unknown;yes
43;blue-collar;single;secondary;no;318;yes;no;unknown;5;jun;736;2;-1;0;unknown;yes
28;student;single;tertiary;no;844;no;no;cellular;16;apr;551;2;-1;0;unknown;yes
54;management;married;tertiary;no;153;no;no;cellular;12;aug;168;5;-1;0;unknown;no
47;technician;married;secondary;no;536;yes;no;cellular;18;may;778;2;336;2;success;no
72;retired;married;tertiary;no;2;no;no;cellular;7;aug;147;2;-1;0;unknown;yes
49;services;married;secondary;no;388;no;no;telephone;31;jul;1032;4;-1;0;unknown;yes
23;student;single;secondary;no;431;no;no;cellular;15;feb;201;3;186;2;success;yes
39;admin.;married;secondary;no;0;no;no;cellular;27;jan;366;1;436;10;failure;yes
44;services;married;secondary;no;522;no;yes;unknown;20;jun;911;1;-1;0;unknown;yes
54;services;married;unknown;no;0;yes;no;cellular;5;feb;686;2;267;1;other;yes
32;technician;married;tertiary;no;636;yes;no;cellular;28;aug;370;1;116;4;success;yes
57;services;married;secondary;no;5486;yes;no;cellular;11;may;86;7;285;3;failure;no
53;admin.;single;secondary;no;2398;yes;no;cellular;3;feb;108;1;92;1;success;no
45;technician;married;secondary;no;6993;yes;no;cellular;20;nov;283;1;-1;0;unknown;yes
40;blue-collar;married;secondary;no;59;yes;no;unknown;13;may;420;1;-1;0;unknown;no
35;technician;single;tertiary;no;817;yes;no;cellular;21;nov;12;5;-1;0;unknown;no
30;blue-collar;single;secondary;no;49;no;no;cellular;30;jan;808;2;-1;0;unknown;yes
39;technician;divorced;tertiary;yes;3;no;no;cellular;6;may;488;1;-1;0;unknown;yes
45;management;married;unknown;no;9051;yes;no;unknown;19;may;124;63;-1;0;unknown;no
61;retired;divorced;secondary;no;4243;no;no;cellular;30;apr;315;1;182;2;success;yes
45;admin.;married;secondary;no;149;yes;no;unknown;23;may;893;3;-1;0;unknown;yes
28;technician;single;secondary;no;113;no;no;cellular;30;apr;108;1;-1;0;unknown;no
38;management;divorced;tertiary;no;4692;yes;no;unknown;29;may;1363;2;-1;0;unknown;yes
33;admin.;married;secondary;no;920;no;no;cellular;30;apr;344;1;-1;0;unknown;yes
50;management;married;tertiary;no;3463;no;yes;cellular;28;oct;96;1;-1;0;unknown;yes
36;blue-collar;single;secondary;no;2235;yes;no;cellular;20;nov;287;2;-1;0;unknown;no
23;student;single;secondary;no;107;no;no;cellular;14;oct;84;1;183;1;success;yes
46;technician;married;secondary;no;1353;no;no;cellular;18;aug;528;5;-1;0;unknown;yes
32;management;married;tertiary;no;3154;no;no;cellular;20;apr;96;2;150;2;failure;no
33;management;single;tertiary;no;718;yes;no;cellular;29;jun;271;1;84;3;success;yes
49;technician;married;secondary;no;1712;yes;no;cellular;30;jul;155;3;-1;0;unknown;no
24;admin.;married;secondary;no;541;yes;no;unknown;5;jun;622;4;-1;0;unknown;no
59;housemaid;married;primary;no;182;no;no;cellular;30;apr;92;1;86;1;failure;no
23;blue-collar;married;primary;no;-213;no;no;unknown;13;may;165;2;-1;0;unknown;no
27;blue-collar;married;secondary;no;106;yes;no;unknown;8;may;207;2;-1;0;unknown;no
41;technician;single;tertiary;no;159;no;no;cellular;18;nov;164;1;-1;0;unknown;no
44;management;single;tertiary;no;483;no;no;cellular;6;mar;207;2;199;6;success;yes
30;technician;single;secondary;no;1395;yes;no;cellular;15;may;199;2;354;1;failure;no
59;management;divorced;secondary;no;0;no;no;cellular;22;aug;125;2;-1;0;unknown;no
32;blue-collar;married;secondary;yes;-53;yes;no;cellular;16;apr;648;1;272;1;other;yes
30;blue-collar;married;secondary;no;187;yes;no;unknown;26;may;272;6;-1;0;unknown;no
44;management;married;unknown;no;187;yes;no;unknown;7;may;185;1;-1;0;unknown;no
60;technician;married;secondary;no;21;no;no;telephone;9;feb;172;4;-1;0;unknown;no
28;student;single;tertiary;no;5741;no;no;cellular;10;sep;1042;5;200;3;failure;yes
33;admin.;divorced;secondary;no;294;yes;no;cellular;8;may;763;1;-1;0;unknown;yes
38;technician;single;secondary;no;4723;yes;no;cellular;13;aug;187;2;-1;0;unknown;no
32;services;married;secondary;no;983;yes;no;cellular;20;nov;500;2;133;1;failure;yes
53;admin.;divorced;secondary;no;0;yes;yes;cellular;6;aug;1452;1;98;2;failure;yes
35;services;married;tertiary;no;4655;no;no;cellular;9;nov;111;2;-1;0;unknown;no
26;services;single;secondary;no;110;no;no;cellular;30;jan;1136;2;-1;0;unknown;yes
37;services;single;secondary;no;105;no;yes;unknown;17;jun;260;4;-1;0;unknown;no
46;blue-collar;married;unknown;no;842;yes;no;telephone;8;may;833;1;-1;0;unknown;yes
24;services;single;secondary;yes;-122;yes;no;unknown;13;may;1000;1;-1;0;unknown;yes
39;management;married;tertiary;no;15;yes;yes;cellular;21;nov;90;2;-1;0;unknown;no
43;unemployed;married;tertiary;no;0;no;no;cellular;16;jul;745;1;281;1;failure;yes
25;technician;single;secondary;no;173;yes;no;cellular;15;may;186;2;-1;0;unknown;no
45;management;married;tertiary;no;2671;no;no;cellular;14;aug;94;4;-1;0;unknown;yes
28;blue-collar;married;primary;no;0;no;no;unknown;14;may;17;24;-1;0;unknown;no
42;management;married;tertiary;no;1435;yes;no;cellular;7;may;1148;1;-1;0;unknown;yes
35;blue-collar;single;secondary;no;507;no;no;unknown;17;jun;43;6;-1;0;unknown;no
51;blue-collar;married;secondary;no;598;yes;no;telephone;18;jul;53;4;-1;0;unknown;no
34;management;married;tertiary;no;6203;no;no;telephone;21;nov;34;2;-1;0;unknown;no
36;management;married;tertiary;no;673;yes;no;cellular;16;jul;689;1;-1;0;unknown;yes
32;blue-collar;single;secondary;no;313;yes;yes;unknown;5;jun;67;2;-1;0;unknown;no
32;management;married;primary;no;142;yes;no;unknown;12;may;101;1;-1;0;unknown;no
61;self-employed;divorced;tertiary;no;6;yes;no;cellular;13;oct;210;1;182;2;success;yes
40;blue-collar;married;secondary;no;188;yes;yes;unknown;20;jun;570;2;-1;0;unknown;yes
32;technician;married;tertiary;no;2976;yes;no;cellular;5;feb;783;1;175;5;failure;yes
71;retired;married;tertiary;no;4388;no;no;cellular;8;jul;896;2;-1;0;unknown;yes
49;unemployed;married;tertiary;no;-471;yes;no;cellular;20;nov;77;3;185;7;failure;no
25;management;married;unknown;no;448;no;no;cellular;5;feb;151;1;297;1;success;yes
49;technician;married;tertiary;no;1071;no;no;cellular;17;jun;169;1;-1;0;unknown;yes
37;technician;single;secondary;no;3326;yes;no;unknown;21;may;799;1;-1;0;unknown;yes
27;admin.;single;secondary;no;18188;yes;no;unknown;12;jun;541;17;-1;0;unknown;yes
63;retired;divorced;primary;no;109;no;no;cellular;10;nov;406;2;-1;0;unknown;yes
29;blue-collar;single;unknown;no;694;yes;yes;cellular;16;jul;1806;4;-1;0;unknown;yes
54;unemployed;married;secondary;no;1561;no;no;cellular;25;may;352;3;186;2;failure;yes
34;management;married;tertiary;no;828;no;yes;cellular;11;aug;1080;3;-1;0;unknown;yes
73;retired;divorced;tertiary;no;3203;no;no;cellular;20;apr;148;1;-1;0;unknown;yes
40;management;divorced;tertiary;no;492;no;yes;cellular;7;jul;125;2;-1;0;unknown;no
36;unemployed;married;secondary;no;1453;no;no;unknown;6;jun;386;1;-1;0;unknown;no
35;technician;single;secondary;no;1227;no;no;cellular;18;mar;593;4;90;6;other;yes
78;retired;divorced;primary;no;1389;no;no;cellular;8;apr;335;1;-1;0;unknown;yes
25;technician;single;secondary;no;4718;no;no;cellular;24;jul;709;1;-1;0;unknown;yes
27;technician;single;tertiary;no;667;no;no;cellular;29;jan;866;2;-1;0;unknown;yes
33;management;single;tertiary;no;20794;no;no;cellular;20;aug;226;5;-1;0;unknown;no
35;technician;single;secondary;no;417;no;no;cellular;19;aug;92;4;-1;0;unknown;no
52;blue-collar;married;secondary;no;5275;no;yes;cellular;22;jul;1029;3;-1;0;unknown;no
28;student;single;secondary;no;1925;no;no;cellular;25;may;252;1;88;4;failure;yes
41;management;married;tertiary;no;1468;yes;no;cellular;31;mar;237;3;-1;0;unknown;yes
37;services;single;secondary;no;342;yes;no;cellular;4;feb;127;1;273;1;failure;no
37;technician;married;secondary;no;1725;no;no;cellular;22;aug;75;7;-1;0;unknown;no
31;technician;married;tertiary;no;120;no;no;cellular;8;aug;1000;1;-1;0;unknown;yes
38;technician;married;secondary;no;10596;no;no;cellular;19;aug;195;1;197;4;other;yes
53;services;divorced;primary;no;-291;yes;yes;unknown;7;may;591;1;-1;0;unknown;yes
58;retired;married;tertiary;no;0;no;no;cellular;13;aug;641;4;-1;0;unknown;yes
52;blue-collar;married;secondary;no;3622;yes;yes;unknown;23;may;40;7;-1;0;unknown;no
33;technician;single;secondary;no;66;no;no;cellular;5;jun;157;2;-1;0;unknown;yes
38;blue-collar;single;tertiary;no;263;yes;no;cellular;14;jul;84;6;-1;0;unknown;no
30;admin.;married;secondary;no;4457;yes;no;cellular;21;nov;566;4;-1;0;unknown;yes
30;blue-collar;married;secondary;no;5;no;no;cellular;17;apr;840;3;-1;0;unknown;yes
47;technician;married;secondary;no;1981;yes;no;cellular;21;jul;919;2;-1;0;unknown;yes
27;management;married;tertiary;no;4909;no;yes;cellular;17;jul;159;3;-1;0;unknown;no
27;admin.;single;tertiary;no;138;no;no;cellular;15;jun;89;2;-1;0;unknown;yes
45;admin.;single;secondary;no;-342;no;yes;unknown;30;jun;158;1;-1;0;unknown;no
30;management;single;tertiary;no;1028;no;no;cellular;4;feb;1294;2;-1;0;unknown;yes
40;admin.;single;secondary;no;142;no;yes;unknown;20;jun;14;3;-1;0;unknown;no
25;student;single;secondary;no;108;no;no;cellular;29;apr;305;3;-1;0;unknown;yes
73;retired;married;unknown;no;3443;no;no;telephone;4;sep;770;3;-1;0;unknown;yes
55;blue-collar;married;primary;no;283;no;yes;cellular;9;jul;115;1;-1;0;unknown;no
29;blue-collar;married;secondary;no;912;yes;no;cellular;13;may;785;1;-1;0;unknown;no
38;technician;married;tertiary;no;-1350;yes;yes;unknown;28;may;96;4;-1;0;unknown;no
27;admin.;single;secondary;no;3629;no;no;cellular;16;jun;66;1;-1;0;unknown;no
28;technician;single;tertiary;no;4987;no;no;cellular;9;feb;253;21;-1;0;unknown;yes
42;admin.;married;secondary;yes;-9;no;no;unknown;20;jun;248;1;-1;0;unknown;no
56;services;married;secondary;no;4763;yes;no;telephone;28;jul;106;6;-1;0;unknown;no
33;admin.;single;tertiary;no;146;no;no;cellular;22;oct;380;1;91;3;success;yes
40;unemployed;single;tertiary;no;79;no;no;cellular;15;oct;570;1;135;1;failure;yes
54;management;divorced;tertiary;no;487;yes;no;unknown;21;may;828;4;-1;0;unknown;yes
44;blue-collar;married;secondary;no;2523;yes;no;unknown;29;may;1236;2;-1;0;unknown;no
57;management;married;primary;no;6900;no;no;cellular;21;apr;159;2;-1;0;unknown;no
35;technician;single;secondary;no;-229;yes;no;unknown;27;may;100;2;-1;0;unknown;no
31;management;married;tertiary;no;0;yes;yes;cellular;28;jul;664;8;-1;0;unknown;yes
28;student;single;secondary;no;67;no;no;cellular;20;aug;329;3;199;2;other;yes
56;unemployed;married;secondary;no;660;yes;no;unknown;6;jun;72;3;-1;0;unknown;no
39;services;married;primary;no;276;yes;yes;cellular;13;may;628;1;-1;0;unknown;no
34;entrepreneur;married;tertiary;no;145;yes;yes;cellular;18;jul;127;10;-1;0;unknown;no
60;retired;married;secondary;no;523;no;no;cellular;11;feb;467;1;182;3;success;yes
46;management;married;secondary;no;5559;no;no;unknown;17;jun;483;1;-1;0;unknown;no
25;management;single;tertiary;no;219;no;no;cellular;30;apr;458;1;-1;0;unknown;yes
30;blue-collar;single;secondary;no;161;no;yes;telephone;8;sep;298;3;-1;0;unknown;yes
37;housemaid;married;secondary;no;7433;no;yes;cellular;5;feb;630;3;-1;0;unknown;yes
40;blue-collar;married;primary;no;57;yes;no;cellular;31;jul;1007;9;-1;0;unknown;yes
32;blue-collar;single;secondary;no;2093;no;no;cellular;24;sep;224;2;444;1;failure;yes
26;unemployed;single;secondary;no;622;no;no;cellular;28;jan;1451;2;-1;0;unknown;yes
31;admin.;single;secondary;no;523;no;yes;cellular;16;oct;141;1;126;4;failure;no
55;housemaid;married;primary;no;16;no;no;unknown;20;jun;64;1;-1;0;unknown;no
43;blue-collar;married;secondary;no;-141;yes;yes;unknown;23;may;128;1;-1;0;unknown;no
43;management;divorced;tertiary;no;481;yes;no;cellular;3;jun;187;1;20;1;other;yes
45;blue-collar;married;secondary;no;61;yes;no;unknown;26;may;745;4;-1;0;unknown;yes
46;management;married;unknown;no;2466;no;no;telephone;1;apr;216;3;370;1;failure;yes
59;blue-collar;married;secondary;no;13718;no;no;telephone;7;jul;107;6;-1;0;unknown;no
31;admin.;single;secondary;no;0;yes;no;cellular;16;jul;1056;2;-1;0;unknown;no
31;blue-collar;married;secondary;no;625;yes;no;cellular;2;jul;135;2;49;3;failure;yes
47;management;married;tertiary;no;3505;no;no;cellular;17;nov;434;2;-1;0;unknown;yes
41;admin.;married;secondary;no;4320;yes;no;cellular;18;nov;164;1;166;2;failure;no
41;admin.;single;secondary;no;812;no;yes;unknown;11;jun;583;4;-1;0;unknown;yes
39;blue-collar;married;primary;no;3503;no;no;unknown;5;jun;89;1;-1;0;unknown;no
35;management;married;tertiary;no;24;yes;no;cellular;20;aug;174;2;-1;0;unknown;no
34;blue-collar;married;unknown;no;11;yes;no;cellular;8;apr;233;1;-1;0;unknown;no
48;blue-collar;married;secondary;no;1513;no;yes;cellular;17;jul;1171;1;-1;0;unknown;no
37;admin.;married;secondary;no;274;yes;no;unknown;27;may;731;3;-1;0;unknown;yes
26;blue-collar;single;primary;no;409;yes;no;cellular;21;jul;577;2;-1;0;unknown;yes
34;management;married;tertiary;yes;-30;yes;no;cellular;4;feb;449;2;-1;0;unknown;no
36;management;married;tertiary;no;22;no;no;cellular;2;oct;91;2;-1;0;unknown;no
49;technician;married;secondary;no;4667;yes;no;unknown;19;may;130;2;-1;0;unknown;no
25;services;single;secondary;no;1119;yes;no;cellular;18;may;1063;1;-1;0;unknown;yes
33;management;married;tertiary;no;5878;no;no;cellular;23;oct;438;1;430;2;failure;yes
54;technician;married;tertiary;no;876;no;no;cellular;27;oct;269;3;541;3;success;yes
45;admin.;single;secondary;no;946;yes;no;cellular;13;apr;754;3;143;6;failure;no
42;services;married;tertiary;no;4216;no;no;cellular;12;jun;186;2;-1;0;unknown;yes
36;services;single;secondary;no;80;no;yes;cellular;17;jul;258;1;-1;0;unknown;no
44;technician;married;secondary;no;-153;no;yes;unknown;26;jun;197;1;-1;0;unknown;no
32;management;married;tertiary;no;500;no;no;cellular;8;aug;151;4;-1;0;unknown;no
41;blue-collar;married;secondary;no;1384;yes;no;unknown;15;may;1162;4;-1;0;unknown;yes
31;management;single;tertiary;no;725;yes;no;cellular;27;apr;345;1;452;1;other;no
48;blue-collar;married;secondary;no;1230;yes;no;cellular;12;nov;169;1;196;2;success;yes
49;housemaid;married;secondary;no;3;no;no;cellular;20;aug;118;2;-1;0;unknown;no
27;technician;single;tertiary;no;393;no;no;cellular;1;apr;165;2;-1;0;unknown;yes
40;unemployed;single;tertiary;no;72;no;no;cellular;30;apr;463;1;-1;0;unknown;yes
33;unemployed;single;secondary;no;2066;no;yes;cellular;9;sep;305;1;749;2;failure;yes
32;services;single;secondary;no;187;yes;no;unknown;29;may;315;1;-1;0;unknown;no
44;blue-collar;married;primary;no;1766;yes;no;cellular;20;nov;100;1;-1;0;unknown;no
46;admin.;married;secondary;no;660;no;no;cellular;6;aug;740;2;-1;0;unknown;yes
33;technician;married;secondary;no;4790;yes;no;cellular;20;apr;137;1;272;2;failure;no
27;admin.;married;secondary;no;1293;yes;no;cellular;8;apr;1665;3;-1;0;unknown;yes
50;management;divorced;tertiary;no;30;no;no;cellular;20;aug;76;2;-1;0;unknown;no
57;technician;married;unknown;no;2610;no;no;telephone;3;feb;258;2;-1;0;unknown;no
34;management;married;tertiary;no;201;no;no;telephone;4;may;21;5;-1;0;unknown;no
55;unemployed;single;primary;no;10183;no;no;unknown;19;jun;106;1;-1;0;unknown;no
31;management;single;tertiary;no;12857;yes;no;cellular;6;feb;158;1;92;1;success;yes
38;services;married;primary;yes;1;yes;no;cellular;17;jul;169;7;-1;0;unknown;no
46;management;married;tertiary;no;699;no;no;cellular;30;apr;970;1;87;1;failure;yes
38;management;single;tertiary;no;900;yes;no;unknown;2;jun;156;1;-1;0;unknown;no
36;admin.;divorced;tertiary;no;281;no;no;cellular;30;jan;60;2;2;1;other;no
34;blue-collar;single;secondary;no;1423;yes;no;cellular;21;nov;55;2;-1;0;unknown;no
38;management;married;tertiary;no;246;yes;no;unknown;23;jul;717;8;-1;0;unknown;no
48;management;single;tertiary;no;1437;yes;yes;unknown;17;jun;34;2;-1;0;unknown;no
42;entrepreneur;married;tertiary;no;287;yes;yes;unknown;30;may;83;2;-1;0;unknown;no
37;management;married;tertiary;no;0;no;no;cellular;15;jan;426;2;196;1;other;yes
22;student;single;secondary;no;185;no;no;cellular;8;jul;153;1;-1;0;unknown;yes
38;management;married;tertiary;no;1199;no;no;cellular;4;aug;178;1;1;1;success;yes
52;admin.;married;secondary;no;2851;no;yes;telephone;2;feb;35;1;-1;0;unknown;no
51;technician;single;tertiary;no;11222;yes;no;cellular;21;nov;126;2;171;7;failure;no
61;management;married;tertiary;no;997;no;no;cellular;10;mar;106;1;-1;0;unknown;yes
82;retired;married;primary;no;8603;no;no;cellular;22;oct;306;3;107;1;success;yes
26;entrepreneur;single;secondary;no;681;no;yes;unknown;27;may;137;1;-1;0;unknown;no
36;services;single;secondary;no;0;yes;no;cellular;15;may;1002;4;-1;0;unknown;yes
32;technician;single;secondary;no;5;no;no;cellular;12;aug;105;2;-1;0;unknown;no
35;technician;single;unknown;no;726;yes;no;cellular;5;may;163;1;-1;0;unknown;no
53;blue-collar;married;secondary;no;1852;yes;no;unknown;29;may;134;4;-1;0;unknown;no
63;retired;married;primary;no;48;no;no;cellular;9;jun;251;1;-1;0;unknown;yes
30;management;married;tertiary;no;32;yes;no;unknown;6;may;122;3;-1;0;unknown;no
56;blue-collar;married;primary;no;8318;yes;no;unknown;16;may;428;2;-1;0;unknown;no
56;blue-collar;married;primary;no;0;yes;no;cellular;16;jul;1222;1;-1;0;unknown;yes
31;admin.;single;secondary;no;622;no;no;cellular;18;jul;420;1;-1;0;unknown;yes
24;management;single;tertiary;no;1030;no;no;cellular;4;mar;396;2;-1;0;unknown;yes
53;blue-collar;married;primary;no;5603;no;no;cellular;28;aug;2372;6;-1;0;unknown;yes
35;management;married;tertiary;no;8000;no;no;cellular;13;may;331;1;90;3;success;yes
44;services;divorced;secondary;no;1;yes;no;unknown;6;may;235;4;-1;0;unknown;no
42;technician;married;secondary;no;473;yes;no;cellular;7;jul;216;5;-1;0;unknown;no
29;blue-collar;divorced;secondary;no;291;yes;no;cellular;20;apr;405;2;-1;0;unknown;no
35;services;married;tertiary;no;260;yes;no;cellular;11;jul;134;2;-1;0;unknown;no
30;blue-collar;married;secondary;no;1177;no;yes;cellular;8;jul;220;2;-1;0;unknown;no
60;retired;divorced;secondary;no;4243;no;no;cellular;30;oct;416;2;-1;0;unknown;yes
42;self-employed;married;tertiary;no;-266;no;yes;unknown;25;jun;322;1;-1;0;unknown;no
30;technician;single;secondary;no;2573;yes;no;unknown;5;may;67;2;-1;0;unknown;no
22;self-employed;single;secondary;no;2138;no;yes;cellular;10;aug;164;1;109;2;other;yes
59;retired;divorced;secondary;no;1;no;no;cellular;19;aug;335;1;-1;0;unknown;yes
49;blue-collar;married;primary;no;762;yes;no;cellular;7;may;373;2;360;4;failure;no
57;entrepreneur;married;secondary;no;1037;yes;yes;unknown;15;may;112;1;-1;0;unknown;no
46;technician;married;secondary;no;250;no;no;cellular;6;aug;84;2;-1;0;unknown;no
36;management;single;tertiary;no;2163;no;no;cellular;5;jun;317;1;-1;0;unknown;no
53;admin.;married;tertiary;no;5094;no;no;cellular;5;aug;114;1;-1;0;unknown;no
37;blue-collar;married;secondary;no;1330;no;no;cellular;30;apr;390;1;-1;0;unknown;yes
44;management;married;tertiary;no;1791;no;no;cellular;11;feb;71;1;190;1;success;yes
34;admin.;single;primary;no;286;yes;no;cellular;13;may;329;1;-1;0;unknown;no
